 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.2740  18.6243   0.2322   1.1942  0.79359E+02  0.79354E+02  0.49996E-02  0.87150E+02  0.27954E-01  0.25659E+01  0.84556E+02  0.10000E+01
    5.0140   2.2740  19.4366   0.2527   1.2996  0.65219E+02  0.65214E+02  0.47435E-02  0.70895E+02  0.17352E-01  0.19349E+01  0.68942E+02  0.10000E+01
    5.0140   2.2740  20.2174   0.2732   1.4050  0.54078E+02  0.54073E+02  0.45185E-02  0.58218E+02  0.10998E-01  0.14808E+01  0.56726E+02  0.10000E+01
    5.0140   2.2740  20.9703   0.2937   1.5104  0.45253E+02  0.45249E+02  0.43634E-02  0.48238E+02  0.71196E-02  0.11502E+01  0.47081E+02  0.10000E+01
    5.0140   2.2740  21.6983   0.3142   1.6158  0.37978E+02  0.37974E+02  0.41605E-02  0.40105E+02  0.46637E-02  0.89974E+00  0.39200E+02  0.10000E+01
    5.0140   2.2740  22.4037   0.3347   1.7212  0.31734E+02  0.31730E+02  0.39788E-02  0.33299E+02  0.30956E-02  0.71557E+00  0.32580E+02  0.10000E+01
    5.0140   2.2740  23.0887   0.3552   1.8266  0.26659E+02  0.26655E+02  0.38136E-02  0.27799E+02  0.20746E-02  0.57071E+00  0.27226E+02  0.10000E+01
    5.0140   2.2740  23.7549   0.3757   1.9320  0.22521E+02  0.22518E+02  0.36830E-02  0.23333E+02  0.14040E-02  0.45993E+00  0.22872E+02  0.10000E+01
    5.0140   2.2740  24.4040   0.3962   2.0374  0.19114E+02  0.19110E+02  0.35450E-02  0.19672E+02  0.96183E-03  0.37372E+00  0.19297E+02  0.10000E+01
    5.0140   2.2740  25.0373   0.4167   2.1428  0.16308E+02  0.16304E+02  0.33965E-02  0.16657E+02  0.66729E-03  0.30558E+00  0.16351E+02  0.10000E+01
    5.0140   2.2740  25.6560   0.4372   2.2482  0.13801E+02  0.13797E+02  0.33076E-02  0.14021E+02  0.46805E-03  0.25101E+00  0.13770E+02  0.10000E+01
    5.0140   2.2740  26.2610   0.4577   2.3536  0.11663E+02  0.11660E+02  0.31917E-02  0.11804E+02  0.33152E-03  0.20753E+00  0.11597E+02  0.10000E+01
    5.0140   2.2740  26.8534   0.4782   2.4590  0.99449E+01  0.99419E+01  0.30839E-02  0.10011E+02  0.23488E-03  0.17278E+00  0.98385E+01  0.10000E+01
    5.0140   2.2740  27.4339   0.4987   2.5644  0.84803E+01  0.84772E+01  0.30522E-02  0.84949E+01  0.16636E-03  0.14467E+00  0.83501E+01  0.10000E+01
    5.0140   2.2740  28.0033   0.5192   2.6698  0.72534E+01  0.72504E+01  0.29783E-02  0.72309E+01  0.11866E-03  0.12175E+00  0.71090E+01  0.10000E+01
    5.0140   2.2740  28.5622   0.5397   2.7752  0.62673E+01  0.62644E+01  0.29557E-02  0.62052E+01  0.85505E-04  0.10321E+00  0.61019E+01  0.10000E+01
    5.0140   2.1240  17.9540   0.1912   1.0372  0.94716E+02  0.94712E+02  0.35731E-02  0.10740E+03  0.70483E-01  0.39707E+01  0.10335E+03  0.10000E+01
    5.0140   2.1240  18.9001   0.2117   1.1484  0.76196E+02  0.76192E+02  0.33969E-02  0.85291E+02  0.41284E-01  0.28837E+01  0.82366E+02  0.10000E+01
    5.0140   2.1240  19.8026   0.2322   1.2595  0.61969E+02  0.61966E+02  0.32955E-02  0.68571E+02  0.24835E-01  0.21317E+01  0.66415E+02  0.10000E+01
    5.0140   2.1240  20.6673   0.2527   1.3707  0.50853E+02  0.50850E+02  0.31190E-02  0.55683E+02  0.15387E-01  0.16058E+01  0.54062E+02  0.10000E+01
    5.0140   2.1240  21.4987   0.2732   1.4819  0.42055E+02  0.42052E+02  0.29813E-02  0.45612E+02  0.97185E-02  0.12246E+01  0.44378E+02  0.10000E+01
    5.0140   2.1240  22.3005   0.2937   1.5931  0.35036E+02  0.35033E+02  0.28345E-02  0.37657E+02  0.62704E-02  0.94883E+00  0.36702E+02  0.10000E+01
    5.0140   2.1240  23.0759   0.3142   1.7042  0.29416E+02  0.29413E+02  0.27017E-02  0.31323E+02  0.40992E-02  0.74180E+00  0.30577E+02  0.10000E+01
    5.0140   2.1240  23.8273   0.3347   1.8154  0.24774E+02  0.24771E+02  0.26126E-02  0.26140E+02  0.27106E-02  0.58437E+00  0.25553E+02  0.10000E+01
    5.0140   2.1240  24.5571   0.3552   1.9266  0.20745E+02  0.20743E+02  0.24999E-02  0.21754E+02  0.18112E-02  0.46507E+00  0.21287E+02  0.10000E+01
    5.0140   2.1240  25.2671   0.3757   2.0378  0.17451E+02  0.17448E+02  0.23918E-02  0.18191E+02  0.12217E-02  0.37431E+00  0.17816E+02  0.10000E+01
    5.0140   2.1240  25.9589   0.3962   2.1489  0.14755E+02  0.14753E+02  0.22819E-02  0.15286E+02  0.83454E-03  0.30263E+00  0.14982E+02  0.10000E+01
    5.0140   2.1240  26.6340   0.4167   2.2601  0.12533E+02  0.12531E+02  0.22107E-02  0.12898E+02  0.57635E-03  0.24655E+00  0.12651E+02  0.10000E+01
    5.0140   2.1240  27.2935   0.4372   2.3713  0.10689E+02  0.10687E+02  0.21194E-02  0.10917E+02  0.40285E-03  0.20149E+00  0.10715E+02  0.10000E+01
    5.0140   2.1240  27.9387   0.4577   2.4825  0.90125E+01  0.90105E+01  0.20612E-02  0.91648E+01  0.28429E-03  0.16587E+00  0.89986E+01  0.10000E+01
    5.0140   2.1240  28.5705   0.4782   2.5937  0.76189E+01  0.76169E+01  0.20100E-02  0.77170E+01  0.20105E-03  0.13736E+00  0.75794E+01  0.10000E+01
    5.0140   2.1240  29.1897   0.4987   2.7048  0.64918E+01  0.64898E+01  0.19592E-02  0.65405E+01  0.14202E-03  0.11431E+00  0.64261E+01  0.10000E+01
    5.0140   2.1240  29.7971   0.5192   2.8160  0.55260E+01  0.55241E+01  0.19336E-02  0.55397E+01  0.10098E-03  0.95538E-01  0.54441E+01  0.10000E+01
    5.0140   2.1240  30.3935   0.5397   2.9272  0.47187E+01  0.47168E+01  0.18982E-02  0.47074E+01  0.72559E-04  0.80205E-01  0.46272E+01  0.10000E+01
    5.0140   2.0340  18.6363   0.1912   1.0695  0.81811E+02  0.81808E+02  0.28012E-02  0.93290E+02  0.66323E-01  0.35919E+01  0.89632E+02  0.10000E+01
    5.0140   2.0340  19.6190   0.2117   1.1841  0.65812E+02  0.65809E+02  0.26798E-02  0.74062E+02  0.38786E-01  0.26054E+01  0.71417E+02  0.10000E+01
    5.0140   2.0340  20.5566   0.2322   1.2988  0.53516E+02  0.53513E+02  0.25552E-02  0.59512E+02  0.23332E-01  0.19247E+01  0.57564E+02  0.10000E+01
    5.0140   2.0340  21.4550   0.2527   1.4134  0.43901E+02  0.43898E+02  0.24341E-02  0.48301E+02  0.14406E-01  0.14478E+01  0.46839E+02  0.10000E+01
    5.0140   2.0340  22.3188   0.2732   1.5280  0.36280E+02  0.36278E+02  0.23084E-02  0.39531E+02  0.90824E-02  0.11058E+01  0.38416E+02  0.10000E+01
    5.0140   2.0340  23.1521   0.2937   1.6427  0.30181E+02  0.30178E+02  0.22096E-02  0.32591E+02  0.58467E-02  0.85519E+00  0.31730E+02  0.10000E+01
    5.0140   2.0340  23.9579   0.3142   1.7573  0.25275E+02  0.25273E+02  0.21310E-02  0.27054E+02  0.38162E-02  0.66735E+00  0.26383E+02  0.10000E+01
    5.0140   2.0340  24.7389   0.3347   1.8719  0.21312E+02  0.21310E+02  0.20296E-02  0.22600E+02  0.25199E-02  0.52591E+00  0.22071E+02  0.10000E+01
    5.0140   2.0340  25.4976   0.3552   1.9866  0.17917E+02  0.17915E+02  0.19400E-02  0.18855E+02  0.16811E-02  0.41846E+00  0.18435E+02  0.10000E+01
    5.0140   2.0340  26.2357   0.3757   2.1012  0.15032E+02  0.15030E+02  0.18538E-02  0.15728E+02  0.11320E-02  0.33455E+00  0.15392E+02  0.10000E+01
    5.0140   2.0340  26.9550   0.3962   2.2159  0.12681E+02  0.12679E+02  0.17902E-02  0.13189E+02  0.77147E-03  0.26996E+00  0.12918E+02  0.10000E+01
    5.0140   2.0340  27.6570   0.4167   2.3305  0.10745E+02  0.10743E+02  0.17098E-02  0.11105E+02  0.53174E-03  0.21913E+00  0.10885E+02  0.10000E+01
    5.0140   2.0340  28.3429   0.4372   2.4451  0.91505E+01  0.91488E+01  0.16500E-02  0.93897E+01  0.37090E-03  0.17887E+00  0.92105E+01  0.10000E+01
    5.0140   2.0340  29.0139   0.4577   2.5598  0.77582E+01  0.77566E+01  0.16025E-02  0.79115E+01  0.26127E-03  0.14685E+00  0.77644E+01  0.10000E+01
    5.0140   2.0340  29.6711   0.4782   2.6744  0.65292E+01  0.65277E+01  0.15489E-02  0.66353E+01  0.18482E-03  0.12112E+00  0.65140E+01  0.10000E+01
    5.0140   2.0340  30.3153   0.4987   2.7891  0.55378E+01  0.55363E+01  0.15087E-02  0.56018E+01  0.13031E-03  0.10058E+00  0.55011E+01  0.10000E+01
    5.0140   2.0340  30.9473   0.5192   2.9037  0.47215E+01  0.47200E+01  0.14850E-02  0.47484E+01  0.92496E-04  0.83725E-01  0.46646E+01  0.10000E+01
    5.0140   2.0340  31.5679   0.5397   3.0183  0.40085E+01  0.40070E+01  0.14687E-02  0.40147E+01  0.66390E-04  0.70168E-01  0.39445E+01  0.10000E+01
    5.0140   1.9290  19.4789   0.1912   1.1072  0.68999E+02  0.68997E+02  0.21235E-02  0.79271E+02  0.62147E-01  0.32312E+01  0.75978E+02  0.10000E+01
    5.0140   1.9290  20.5070   0.2117   1.2258  0.55508E+02  0.55506E+02  0.20100E-02  0.62889E+02  0.36269E-01  0.23430E+01  0.60510E+02  0.10000E+01
    5.0140   1.9290  21.4880   0.2322   1.3445  0.45140E+02  0.45138E+02  0.19167E-02  0.50526E+02  0.21790E-01  0.17273E+01  0.48777E+02  0.10000E+01
    5.0140   1.9290  22.4281   0.2527   1.4632  0.37025E+02  0.37024E+02  0.18259E-02  0.40989E+02  0.13419E-01  0.12983E+01  0.39678E+02  0.10000E+01
    5.0140   1.9290  23.3322   0.2732   1.5819  0.30585E+02  0.30583E+02  0.17520E-02  0.33524E+02  0.84428E-02  0.98965E+00  0.32526E+02  0.10000E+01
    5.0140   1.9290  24.2044   0.2937   1.7006  0.25419E+02  0.25417E+02  0.16747E-02  0.27607E+02  0.54203E-02  0.76485E+00  0.26837E+02  0.10000E+01
    5.0140   1.9290  25.0480   0.3142   1.8192  0.21245E+02  0.21243E+02  0.15899E-02  0.22875E+02  0.35312E-02  0.59604E+00  0.22276E+02  0.10000E+01
    5.0140   1.9290  25.8658   0.3347   1.9379  0.17869E+02  0.17867E+02  0.15118E-02  0.19073E+02  0.23286E-02  0.46901E+00  0.18601E+02  0.10000E+01
    5.0140   1.9290  26.6602   0.3552   2.0566  0.15097E+02  0.15096E+02  0.14626E-02  0.15968E+02  0.15509E-02  0.37154E+00  0.15595E+02  0.10000E+01
    5.0140   1.9290  27.4332   0.3757   2.1753  0.12672E+02  0.12670E+02  0.13957E-02  0.13317E+02  0.10428E-02  0.29708E+00  0.13019E+02  0.10000E+01
    5.0140   1.9290  28.1867   0.3962   2.2939  0.10658E+02  0.10656E+02  0.13280E-02  0.11137E+02  0.70865E-03  0.23909E+00  0.10897E+02  0.10000E+01
    5.0140   1.9290  28.9221   0.4167   2.4126  0.90080E+01  0.90067E+01  0.12772E-02  0.93565E+01  0.48740E-03  0.19375E+00  0.91622E+01  0.10000E+01
    5.0140   1.9290  29.6408   0.4372   2.5313  0.76461E+01  0.76448E+01  0.12390E-02  0.78903E+01  0.33916E-03  0.15754E+00  0.77325E+01  0.10000E+01
    5.0140   1.9290  30.3440   0.4577   2.6500  0.65115E+01  0.65103E+01  0.11936E-02  0.66697E+01  0.23844E-03  0.12908E+00  0.65404E+01  0.10000E+01
    5.0140   1.9290  31.0327   0.4782   2.7686  0.54759E+01  0.54748E+01  0.11518E-02  0.55863E+01  0.16860E-03  0.10598E+00  0.54801E+01  0.10000E+01
    5.0140   1.9290  31.7080   0.4987   2.8873  0.46218E+01  0.46207E+01  0.11360E-02  0.46962E+01  0.11890E-03  0.87639E-01  0.46084E+01  0.10000E+01
