                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.2740  25.0373  0.16308E+02  0.16657E+02  0.66729E-03  0.16351E+02  0.16657E+02  0.66729E-03  0.16351E+02
    5.0140   2.2740  25.6560  0.13801E+02  0.14021E+02  0.46805E-03  0.13770E+02  0.14021E+02  0.46805E-03  0.13770E+02
    5.0140   2.2740  26.2610  0.11663E+02  0.11804E+02  0.33152E-03  0.11597E+02  0.11804E+02  0.33152E-03  0.11597E+02
    5.0140   2.2740  26.8534  0.99449E+01  0.10011E+02  0.23488E-03  0.98385E+01  0.10011E+02  0.23488E-03  0.98385E+01
    5.0140   2.2740  27.4339  0.84803E+01  0.84949E+01  0.16636E-03  0.83501E+01  0.84949E+01  0.16636E-03  0.83501E+01
    5.0140   2.2740  28.0033  0.72534E+01  0.72309E+01  0.11866E-03  0.71090E+01  0.72309E+01  0.11866E-03  0.71090E+01
    5.0140   2.2740  28.5622  0.62673E+01  0.62052E+01  0.85505E-04  0.61019E+01  0.62052E+01  0.85505E-04  0.61019E+01
    5.0140   2.1240  17.9540  0.94716E+02  0.10740E+03  0.70483E-01  0.10335E+03  0.10740E+03  0.70483E-01  0.10335E+03
    5.0140   2.1240  18.9001  0.76196E+02  0.85291E+02  0.41284E-01  0.82366E+02  0.85291E+02  0.41284E-01  0.82366E+02
    5.0140   2.1240  19.8026  0.61969E+02  0.68571E+02  0.24835E-01  0.66415E+02  0.68571E+02  0.24835E-01  0.66415E+02
    5.0140   2.1240  20.6673  0.50853E+02  0.55683E+02  0.15387E-01  0.54062E+02  0.55683E+02  0.15387E-01  0.54062E+02
    5.0140   2.1240  21.4987  0.42055E+02  0.45612E+02  0.97185E-02  0.44378E+02  0.45612E+02  0.97185E-02  0.44378E+02
    5.0140   2.1240  22.3005  0.35036E+02  0.37657E+02  0.62704E-02  0.36702E+02  0.37657E+02  0.62704E-02  0.36702E+02
    5.0140   2.1240  23.0759  0.29416E+02  0.31323E+02  0.40992E-02  0.30577E+02  0.31323E+02  0.40992E-02  0.30577E+02
    5.0140   2.1240  23.8273  0.24774E+02  0.26140E+02  0.27106E-02  0.25553E+02  0.26140E+02  0.27106E-02  0.25553E+02
    5.0140   2.1240  24.5571  0.20745E+02  0.21754E+02  0.18112E-02  0.21287E+02  0.21754E+02  0.18112E-02  0.21287E+02
    5.0140   2.1240  25.2671  0.17451E+02  0.18191E+02  0.12217E-02  0.17816E+02  0.18191E+02  0.12217E-02  0.17816E+02
    5.0140   2.1240  25.9589  0.14755E+02  0.15286E+02  0.83454E-03  0.14982E+02  0.15286E+02  0.83454E-03  0.14982E+02
    5.0140   2.1240  26.6340  0.12533E+02  0.12898E+02  0.57635E-03  0.12651E+02  0.12898E+02  0.57635E-03  0.12651E+02
    5.0140   2.1240  27.2935  0.10689E+02  0.10917E+02  0.40285E-03  0.10715E+02  0.10917E+02  0.40285E-03  0.10715E+02
    5.0140   2.1240  27.9387  0.90125E+01  0.91648E+01  0.28429E-03  0.89986E+01  0.91648E+01  0.28429E-03  0.89986E+01
    5.0140   2.1240  28.5705  0.76189E+01  0.77170E+01  0.20105E-03  0.75794E+01  0.77170E+01  0.20105E-03  0.75794E+01
    5.0140   2.1240  29.1897  0.64918E+01  0.65405E+01  0.14202E-03  0.64261E+01  0.65405E+01  0.14202E-03  0.64261E+01
    5.0140   2.1240  29.7971  0.55260E+01  0.55397E+01  0.10098E-03  0.54441E+01  0.55397E+01  0.10098E-03  0.54441E+01
    5.0140   2.1240  30.3935  0.47187E+01  0.47074E+01  0.72559E-04  0.46272E+01  0.47074E+01  0.72559E-04  0.46272E+01
    5.0140   2.0340  18.6363  0.81811E+02  0.93290E+02  0.66323E-01  0.89632E+02  0.93290E+02  0.66323E-01  0.89632E+02
    5.0140   2.0340  19.6190  0.65812E+02  0.74062E+02  0.38786E-01  0.71417E+02  0.74062E+02  0.38786E-01  0.71417E+02
    5.0140   2.0340  20.5566  0.53516E+02  0.59512E+02  0.23332E-01  0.57564E+02  0.59512E+02  0.23332E-01  0.57564E+02
    5.0140   2.0340  21.4550  0.43901E+02  0.48301E+02  0.14406E-01  0.46839E+02  0.48301E+02  0.14406E-01  0.46839E+02
    5.0140   2.0340  22.3188  0.36280E+02  0.39531E+02  0.90824E-02  0.38416E+02  0.39531E+02  0.90824E-02  0.38416E+02
    5.0140   2.0340  23.1521  0.30181E+02  0.32591E+02  0.58467E-02  0.31730E+02  0.32591E+02  0.58467E-02  0.31730E+02
    5.0140   2.0340  23.9579  0.25275E+02  0.27054E+02  0.38162E-02  0.26383E+02  0.27054E+02  0.38162E-02  0.26383E+02
    5.0140   2.0340  24.7389  0.21312E+02  0.22600E+02  0.25199E-02  0.22071E+02  0.22600E+02  0.25199E-02  0.22071E+02
    5.0140   2.0340  25.4976  0.17917E+02  0.18855E+02  0.16811E-02  0.18435E+02  0.18855E+02  0.16811E-02  0.18435E+02
    5.0140   2.0340  26.2357  0.15032E+02  0.15728E+02  0.11320E-02  0.15392E+02  0.15728E+02  0.11320E-02  0.15392E+02
    5.0140   2.0340  26.9550  0.12681E+02  0.13189E+02  0.77147E-03  0.12918E+02  0.13189E+02  0.77147E-03  0.12918E+02
    5.0140   2.0340  27.6570  0.10745E+02  0.11105E+02  0.53174E-03  0.10885E+02  0.11105E+02  0.53174E-03  0.10885E+02
    5.0140   2.0340  28.3429  0.91505E+01  0.93897E+01  0.37090E-03  0.92105E+01  0.93897E+01  0.37090E-03  0.92105E+01
    5.0140   2.0340  29.0139  0.77582E+01  0.79115E+01  0.26127E-03  0.77644E+01  0.79115E+01  0.26127E-03  0.77644E+01
    5.0140   2.0340  29.6711  0.65292E+01  0.66353E+01  0.18482E-03  0.65140E+01  0.66353E+01  0.18482E-03  0.65140E+01
    5.0140   2.0340  30.3153  0.55378E+01  0.56018E+01  0.13031E-03  0.55011E+01  0.56018E+01  0.13031E-03  0.55011E+01
    5.0140   2.0340  30.9473  0.47215E+01  0.47484E+01  0.92496E-04  0.46646E+01  0.47484E+01  0.92496E-04  0.46646E+01
    5.0140   2.0340  31.5679  0.40085E+01  0.40147E+01  0.66390E-04  0.39445E+01  0.40147E+01  0.66390E-04  0.39445E+01
    5.0140   1.9290  19.4789  0.68999E+02  0.79271E+02  0.62147E-01  0.75978E+02  0.79271E+02  0.62147E-01  0.75978E+02
    5.0140   1.9290  20.5070  0.55508E+02  0.62889E+02  0.36269E-01  0.60510E+02  0.62889E+02  0.36269E-01  0.60510E+02
    5.0140   1.9290  21.4880  0.45140E+02  0.50526E+02  0.21790E-01  0.48777E+02  0.50526E+02  0.21790E-01  0.48777E+02
    5.0140   1.9290  22.4281  0.37025E+02  0.40989E+02  0.13419E-01  0.39678E+02  0.40989E+02  0.13419E-01  0.39678E+02
    5.0140   1.9290  23.3322  0.30585E+02  0.33524E+02  0.84428E-02  0.32526E+02  0.33524E+02  0.84428E-02  0.32526E+02
    5.0140   1.9290  24.2044  0.25419E+02  0.27607E+02  0.54203E-02  0.26837E+02  0.27607E+02  0.54203E-02  0.26837E+02
    5.0140   1.9290  25.0480  0.21245E+02  0.22875E+02  0.35312E-02  0.22276E+02  0.22875E+02  0.35312E-02  0.22276E+02
    5.0140   1.9290  25.8658  0.17869E+02  0.19073E+02  0.23286E-02  0.18601E+02  0.19073E+02  0.23286E-02  0.18601E+02
    5.0140   1.9290  26.6602  0.15097E+02  0.15968E+02  0.15509E-02  0.15595E+02  0.15968E+02  0.15509E-02  0.15595E+02
    5.0140   1.9290  27.4332  0.12672E+02  0.13317E+02  0.10428E-02  0.13019E+02  0.13317E+02  0.10428E-02  0.13019E+02
    5.0140   1.9290  28.1867  0.10658E+02  0.11137E+02  0.70865E-03  0.10897E+02  0.11137E+02  0.70865E-03  0.10897E+02
    5.0140   1.9290  28.9221  0.90080E+01  0.93565E+01  0.48740E-03  0.91622E+01  0.93565E+01  0.48740E-03  0.91622E+01
    5.0140   1.9290  29.6408  0.76461E+01  0.78903E+01  0.33916E-03  0.77325E+01  0.78903E+01  0.33916E-03  0.77325E+01
    5.0140   1.9290  30.3440  0.65115E+01  0.66697E+01  0.23844E-03  0.65404E+01  0.66697E+01  0.23844E-03  0.65404E+01
    5.0140   1.9290  31.0327  0.54759E+01  0.55863E+01  0.16860E-03  0.54801E+01  0.55863E+01  0.16860E-03  0.54801E+01
    5.0140   1.9290  31.7080  0.46218E+01  0.46962E+01  0.11890E-03  0.46084E+01  0.46962E+01  0.11890E-03  0.46084E+01
    5.0140   1.9290  32.3706  0.39277E+01  0.39697E+01  0.84341E-04  0.38969E+01  0.39697E+01  0.84341E-04  0.38969E+01
    5.0140   1.9290  33.0213  0.33372E+01  0.33556E+01  0.60404E-04  0.32949E+01  0.33556E+01  0.60404E-04  0.32949E+01
    5.0140   1.7940  19.4986  0.69858E+02  0.82459E+02  0.10235E+00  0.78319E+02  0.82459E+02  0.10235E+00  0.78319E+02
    5.0140   1.7940  20.6481  0.55437E+02  0.64383E+02  0.57700E-01  0.61474E+02  0.64383E+02  0.57700E-01  0.61474E+02
