                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.2004  19.0264  0.21883E+04  0.24025E+04  0.81954E-01  0.23490E+04  0.24025E+04  0.81954E-01  0.23490E+04
    5.0140   1.5363  22.5408  0.12040E+04  0.14405E+04  0.21536E+00  0.13837E+04  0.14405E+04  0.21536E+00  0.13837E+04
    5.0140   1.0173  27.8321  0.62806E+03  0.83890E+03  0.64886E+00  0.77781E+03  0.83890E+03  0.64886E+00  0.77781E+03
    5.0140   2.1731  21.6010  0.11934E+04  0.12739E+04  0.15583E-01  0.12499E+04  0.12739E+04  0.15583E-01  0.12499E+04
    5.0140   1.5437  25.7761  0.67153E+03  0.77148E+03  0.46212E-01  0.74650E+03  0.77148E+03  0.46212E-01  0.74650E+03
    5.0140   1.0238  31.8949  0.36273E+03  0.46248E+03  0.74908E-01  0.43385E+03  0.46248E+03  0.74908E-01  0.43385E+03
    5.0140   2.0336  25.9629  0.45832E+03  0.47735E+03  0.39567E-03  0.46911E+03  0.47735E+03  0.39567E-03  0.46911E+03
    5.0140   1.5395  31.7337  0.22530E+03  0.24379E+03  0.44989E-03  0.23773E+03  0.24379E+03  0.44989E-03  0.23773E+03
    5.0140   1.0398  38.9690  0.13795E+03  0.16308E+03  0.24268E-02  0.15514E+03  0.16308E+03  0.24268E-02  0.15514E+03
